0.00,0.00,0.25
0.00,0.00,-0.28
0.00,0.00,0.12
0.00,0.00,0.37
0.00,0.00,-0.15
0.00,0.00,0.16
0.00,0.00,-0.29
0.00,0.00,-0.18
0.00,0.00,-0.15
0.00,0.00,-0.17
0.00,0.00,-0.25
0.00,0.00,0.10
0.00,0.00,-0.24
0.00,0.00,-0.10
0.00,0.00,-0.21
0.00,0.00,-0.19
0.00,0.00,-0.28
0.00,0.00,0.17
0.00,0.00,0.37
0.00,0.00,-0.13
0.00,0.00,-0.03
0.00,0.00,-0.04
0.00,0.00,-0.03
0.00,0.00,-0.05
0.00,0.00,-0.13
0.00,0.00,0.13
0.00,0.00,-0.19
0.00,0.00,-0.17
0.00,0.00,-0.14
0.00,0.00,-0.38
0.00,0.00,-0.28
0.00,0.00,-0.24
0.00,0.00,0.32
0.00,0.00,-0.18
0.00,0.00,0.20
0.00,0.00,0.11
0.00,0.00,0.17
0.00,0.00,-0.14
0.00,0.00,-0.17
0.00,0.00,-0.05
0.00,0.00,-0.29
0.00,0.00,-0.16
0.00,0.00,0.08
0.00,0.00,0.10
0.00,0.00,0.24
0.00,0.00,-0.10
0.00,0.00,0.07
0.00,0.00,-0.03
0.00,0.00,-0.26
0.00,0.00,-0.09
0.00,0.00,0.19
0.00,0.00,-0.14
0.00,0.00,-0.14
0.00,0.00,-0.15
0.00,0.00,0.25
0.00,0.00,0.03
0.00,0.00,0.22
0.00,0.00,0.08
0.00,0.00,0.01
0.00,0.00,-0.13
0.00,0.00,-0.31
0.00,0.00,-0.17
0.00,0.00,-0.05
0.00,0.00,0.13
0.00,0.00,0.37
0.00,0.00,0.17
0.00,0.00,0.17
0.00,0.00,-0.18
0.00,0.00,-0.12
0.00,0.00,-0.18
0.00,0.00,-0.06
0.00,0.00,-0.23
0.00,0.00,0.05
0.00,0.00,-0.20
0.00,0.00,-0.21
0.00,0.00,-0.09
0.00,0.00,0.20
0.00,0.00,-0.27
0.00,0.00,0.15
0.00,0.00,-0.08
0.00,0.00,-0.21
0.00,0.00,0.00
0.00,0.00,-0.04
0.00,0.00,-0.22
0.00,0.00,-0.24
0.00,0.00,-0.17
0.00,0.00,0.40
0.00,0.00,-0.23
0.00,0.00,0.17
0.00,0.00,-0.20
0.00,0.00,0.23
0.00,0.00,-0.01
100.00,895.00,0.43
0.00,895.00,-0.24
0.00,895.00,-0.03
0.00,895.00,-0.08
0.00,0.00,-0.09
0.00,0.00,-0.07
0.00,0.00,-0.12
0.00,0.00,-0.06
0.00,0.00,0.25
0.00,0.00,0.10
100.00,972.00,0.44
100.00,1756.00,0.44
0.00,1756.00,0.05
0.00,1756.00,0.08
0.00,1756.00,0.24
0.00,1756.00,-0.27
0.00,1756.00,0.03
0.00,1756.00,-0.19
0.00,1756.00,-0.13
0.00,1756.00,-0.08
0.00,0.00,-0.22
0.00,0.00,-0.07
0.00,0.00,0.10
0.00,0.00,0.01
0.00,0.00,0.25
0.00,0.00,0.10
0.00,0.00,-0.15
0.00,0.00,-0.21
0.00,0.00,-0.02
0.00,0.00,0.09
0.00,0.00,-0.07
0.00,0.00,-0.09
0.00,0.00,-0.13
0.00,0.00,-0.06
0.00,0.00,0.02
0.00,0.00,0.15
0.00,0.00,-0.11
0.00,0.00,-0.22
0.00,0.00,0.04
0.00,0.00,-0.00
0.00,0.00,-0.03
0.00,0.00,-0.21
0.00,0.00,0.15
0.00,0.00,-0.12
0.00,0.00,0.03
0.00,0.00,0.27
0.00,0.00,0.24
0.00,0.00,-0.07
0.00,0.00,0.22
0.00,0.00,-0.02
0.00,0.00,0.21
100.00,596.00,0.44
0.00,0.00,-0.15
0.00,0.00,-0.33
0.00,0.00,0.00
0.00,0.00,-0.23
100.00,978.00,0.45
0.00,978.00,-0.17
0.00,978.00,0.06
0.00,978.00,0.20
0.00,978.00,-0.17
0.00,978.00,0.19
0.00,978.00,0.08
0.00,978.00,0.14
0.00,978.00,-0.01
0.00,978.00,-0.03
0.00,978.00,-0.09
0.00,978.00,-0.05
0.00,0.00,-0.27
0.00,0.00,-0.30
0.00,0.00,0.08
0.00,0.00,0.22
0.00,0.00,-0.08
0.00,0.00,0.15
0.00,0.00,-0.19
0.00,0.00,0.24
0.00,0.00,0.26
0.00,0.00,-0.28
0.00,0.00,-0.07
0.00,0.00,0.33
0.00,0.00,-0.05
100.00,606.00,0.43
0.00,606.00,-0.11
0.00,606.00,-0.14
0.00,0.00,-0.02
0.00,0.00,0.25
100.00,489.00,0.45
100.00,1002.00,0.44
100.00,1493.00,0.45
0.00,1493.00,0.00
100.00,1849.00,0.45
0.00,1849.00,0.14
0.00,1849.00,-0.13
100.00,2730.00,0.44
0.00,2730.00,-0.30
0.00,2730.00,-0.03
0.00,2730.00,0.03
0.00,2730.00,-0.31
0.00,2730.00,0.09
0.00,2730.00,0.05
0.00,2730.00,0.08
0.00,2730.00,-0.23
100.00,751.00,0.44
0.00,751.00,0.09
0.00,751.00,-0.22
0.00,751.00,-0.17
0.00,751.00,0.21
0.00,751.00,-0.11
0.00,751.00,-0.30
0.00,751.00,-0.07
0.00,751.00,0.09
0.00,751.00,0.16
0.00,751.00,0.00
0.00,751.00,-0.23
0.00,751.00,0.01
0.00,751.00,0.20
0.00,751.00,0.05
0.00,751.00,0.32
0.00,0.00,0.06
0.00,0.00,-0.22
0.00,0.00,0.12
0.00,0.00,-0.20
0.00,0.00,-0.02
0.00,0.00,-0.07
100.00,549.00,0.44
0.00,549.00,0.15
0.00,549.00,0.06
0.00,549.00,-0.05
0.00,549.00,-0.20
0.00,549.00,0.17
0.00,549.00,0.26
0.00,549.00,-0.13
100.00,1137.00,0.45
100.00,1802.00,0.43
0.00,1802.00,0.11
0.00,0.00,0.32
0.00,0.00,-0.15
0.00,0.00,0.22
0.00,0.00,-0.12
100.00,931.00,0.45
0.00,931.00,-0.14
0.00,931.00,0.15
0.00,931.00,0.36
0.00,931.00,-0.18
100.00,1558.00,0.45
0.00,1558.00,-0.06
0.00,1558.00,0.01
0.00,1558.00,-0.22
100.00,2418.00,0.44
0.00,2418.00,-0.10
100.00,3114.00,0.45
0.00,0.00,-0.08
0.00,0.00,-0.15
0.00,0.00,-0.17
0.00,0.00,-0.00
0.00,0.00,-0.05
100.00,569.00,0.42
0.00,569.00,-0.15
0.00,569.00,0.17
0.00,569.00,-0.02
0.00,569.00,0.06
0.00,569.00,-0.12
0.00,569.00,-0.12
0.00,569.00,-0.00
100.00,1325.00,0.43
0.00,1325.00,-0.00
0.00,1325.00,0.11
0.00,0.00,0.16
0.00,0.00,-0.05
0.00,0.00,-0.13
